,artist,album
3170,Paulo Gonzo,Paulo Gonzo
3172,Mariza,Transparente
3177,Tony Carreira,A vida que eu escolhi
3178,Paulo Gonzo,Perfil
3179,Ana Moura,Para além da saudade
3185,Mariza,Concerto em Lisboa
3191,Tony Carreira,O homem que sou
3192,Mariza,Terra
3193,Deolinda,Canção ao lado
3209,Deolinda,Canção ao lado
3215,Ana Moura,Leva-me aos fados
3216,Mariza,Terra
3218,Paulo Gonzo,Perfil
3224,Mariza,Fado tradicional
3225,Tony Carreira,O mesmo de sempre
3226,Pedro Abrunhosa,Longe
3228,Deolinda,Canção ao lado
3229,Deolinda,Dois selos e um carimbo
3234,Ana Moura,Leva-me aos fados
3235,António Zambujo,Quinto
3236,Carminho,Alma
3251,Carminho,Fado
3252,Tony Carreira,Essencial
3254,Deolinda,Mundo pequenino
