,artist,album
1586,Tony Carreira,Sempre
1588,António Zambujo,Rua da Emenda
1589,Mariza,Best Of Mariza
1590,Pedro Abrunhosa,Viagens
1593,Paulo Gonzo,Duetos
1594,Carminho,Canto
1595,Pedro Abrunhosa,Contramão
1596,Ana Moura,Desfado
1598,D.A.M.A.,Dá-me um segundo
1599,Ana Moura,Moura
1600,Mariza,Mundo
1605,D.A.M.A.,Uma questão de princípio
1608,António Zambujo,Rua da Emenda
1609,Mariza,Best Of Mariza
1612,Ana Moura,Desfado
1614,Tony Carreira,Sempre mais
1617,Ana Moura,Moura
1618,Carminho,Carminho canta Tom Jobim
1619,António Zambujo,Até pensei que fosse minha
1620,Panda e Os Caricas,Panda e Os Caricas 3
1622,Ana Moura,Desfado
1623,D.A.M.A.,Dá-me um segundo
1624,António Zambujo,Rua da Emenda
1626,Mariza,Mundo
1636,D.A.M.A.,Lado a lado
1639,Ana Moura,Best Of
1642,Carminho,Carminho canta Tom Jobim
1650,Tony Carreira,As cançoes das nossas vidas
1652,António Zambujo,Do avesso
1653,Pedro Abrunhosa,Espiritual
1654,Mariza,Mariza [2018]
1657,Panda e Os Caricas,A volta ao mundo
1658,Carminho,Maria
1663,Tony Carreira,Ao vivo no pavilhao atlantico
1664,Pedro Abrunhosa,Palco
1666,Mariza,Fado curvo
1675,Tony Carreira,Vagabundo por amor
1681,Paulo Gonzo,Paulo Gonzo
1685,Tony Carreira,A vida que eu escolhi
1701,Paulo Gonzo,Perfil
1702,Mariza,Concerto em Lisboa
1711,Tony Carreira,A vida que eu escolhi
1714,Tony Carreira,O homem que sou
1717,Deolinda,Canção ao lado
1719,Mariza,Terra
1722,Ana Moura,Para além da saudade
1723,Paulo Gonzo,Perfil
1728,Carminho,Fado
1729,Ana Moura,Leva-me aos fados
1737,Mariza,Terra
1738,Tony Carreira,O homem que sou
1740,Tony Carreira,O mesmo de sempre
1741,Deolinda,Dois selos e um carimbo
1742,Pedro Abrunhosa,Longe
1743,Deolinda,Canção ao lado
1747,Mariza,Fado tradicional
1758,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
1764,Paulo Gonzo,Só gestos
1765,Tony Carreira,Essencial
1766,Ana Moura,Desfado
1767,Panda e Os Caricas,Panda e Os Caricas
1772,Carminho,Alma
1773,António Zambujo,Quinto
1779,Paulo Gonzo,Duetos
1780,Pedro Abrunhosa,Contramão
1781,Tony Carreira,25 anos
1783,Ana Moura,Desfado
1787,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
1788,Panda e Os Caricas,Panda e Os Caricas
1792,Tony Carreira,Essencial
1793,António Zambujo,Quinto
1794,D.A.M.A.,Uma questão de princípio
1796,Tony Carreira,Sempre
1797,António Zambujo,Rua da Emenda
1798,Mariza,Best Of Mariza
1800,Ana Moura,Desfado
1801,Paulo Gonzo,Duetos
1803,Carminho,Canto
1805,António Zambujo,Quinto
1806,Deolinda,Outras histórias
1807,Ana Moura,Moura
1809,D.A.M.A.,Dá-me um segundo
1811,António Zambujo,Rua da Emenda
1812,Mariza,Mundo
1816,Ana Moura,Desfado
1819,D.A.M.A.,Uma questão de princípio
1821,António Zambujo,Quinto
1822,Panda e Os Caricas,Panda e Os Caricas 3
1824,Tony Carreira,Sempre mais
1826,Ana Moura,Moura
1827,Carminho,Carminho canta Tom Jobim
1829,Panda e Os Caricas,Panda e Os Caricas 3
1830,António Zambujo,Até pensei que fosse minha
1831,D.A.M.A.,Dá-me um segundo
1832,Ana Moura,Desfado
1833,António Zambujo,Rua da Emenda
1834,Mariza,Mundo
1839,Mariza,Best Of Mariza
1847,D.A.M.A.,Lado a lado
1850,Ana Moura,Best Of
1853,Carminho,Carminho canta Tom Jobim
1856,Ana Moura,Moura
1858,Mariza,Best Of Mariza
1861,Tony Carreira,As cançoes das nossas vidas
1863,António Zambujo,Do avesso
1864,Pedro Abrunhosa,Espiritual
1866,Mariza,Mariza [2018]
1868,Panda e Os Caricas,A volta ao mundo
1871,Mariza,Best Of Mariza
1872,Carminho,Maria
1873,Panda e Os Caricas,Panda e Os Caricas
1875,Tony Carreira,Ao vivo no pavilhao atlantico
1876,Pedro Abrunhosa,Palco
1878,Mariza,Fado curvo
1886,Tony Carreira,Vagabundo por amor
1889,Paulo Gonzo,Paulo Gonzo
1895,Tony Carreira,A vida que eu escolhi
